time;model_id;model_name;port_name;data
0;1;(3,4);;<2, 5, 0, 0>
0;2;(4,3);;<2, 5, 0, 0>
0;3;(1,3);;<2, 5, 0, 0>
0;4;(0,4);;<2, 5, 0, 0>
0;5;(0,3);;<2, 5, 0, 0>
0;6;(0,0);;<2, 5, 0, 0>
0;7;(1,0);;<2, 5, 0, 0>
0;8;(2,2);;<2, 5, 0, 0>
0;9;(2,0);;<2, 5, 0, 0>
0;10;(3,0);;<2, 5, 0, 0>
0;11;(1,1);;<2, 5, 0, 0>
0;12;(2,1);;<2, 5, 0, 0>
0;13;(1,4);;<2, 5, 0, 0>
0;14;(4,0);;<2, 5, 0, 0>
0;15;(3,3);;<2, 5, 0, 0>
0;16;(4,1);;<2, 5, 0, 0>
0;17;(0,2);;<2, 5, 0, 0>
0;18;(0,1);;<2, 5, 0, 0>
0;19;(4,4);;<2, 5, 0, 0>
0;20;(2,4);;<2, 5, 0, 0>
0;21;(3,1);;<2, 5, 0, 0>
0;22;(2,3);;<2, 5, 0, 0>
0;23;(4,2);;<2, 5, 0, 0>
0;24;(3,2);;<2, 5, 0, 0>
0;25;(1,2);;<2, 5, 0, 0>
0;1;(3,4);outputNeighborhood;<2, 5, 0, 0>
0;1;(3,4);;<2, 5, 1, 0>
0;2;(4,3);outputNeighborhood;<2, 5, 0, 0>
0;2;(4,3);;<2, 5, 1, 0>
0;3;(1,3);outputNeighborhood;<2, 5, 0, 0>
0;3;(1,3);;<2, 5, 1, 0>
0;4;(0,4);outputNeighborhood;<2, 5, 0, 0>
0;4;(0,4);;<2, 5, 1, 0>
0;5;(0,3);outputNeighborhood;<2, 5, 0, 0>
0;5;(0,3);;<2, 5, 1, 0>
0;6;(0,0);outputNeighborhood;<2, 5, 0, 0>
0;6;(0,0);;<2, 5, 1, 0>
0;7;(1,0);outputNeighborhood;<2, 5, 0, 0>
0;7;(1,0);;<2, 5, 1, 0>
0;8;(2,2);outputNeighborhood;<2, 5, 0, 0>
0;8;(2,2);;<2, 5, 1, 0>
0;9;(2,0);outputNeighborhood;<2, 5, 0, 0>
0;9;(2,0);;<2, 5, 1, 0>
0;10;(3,0);outputNeighborhood;<2, 5, 0, 0>
0;10;(3,0);;<2, 5, 1, 0>
0;11;(1,1);outputNeighborhood;<2, 5, 0, 0>
0;11;(1,1);;<2, 5, 1, 0>
0;12;(2,1);outputNeighborhood;<2, 5, 0, 0>
0;12;(2,1);;<2, 5, 1, 0>
0;13;(1,4);outputNeighborhood;<2, 5, 0, 0>
0;13;(1,4);;<2, 5, 1, 0>
0;14;(4,0);outputNeighborhood;<2, 5, 0, 0>
0;14;(4,0);;<2, 5, 1, 0>
0;15;(3,3);outputNeighborhood;<2, 5, 0, 0>
0;15;(3,3);;<2, 5, 1, 0>
0;16;(4,1);outputNeighborhood;<2, 5, 0, 0>
0;16;(4,1);;<2, 5, 1, 0>
0;17;(0,2);outputNeighborhood;<2, 5, 0, 0>
0;17;(0,2);;<2, 5, 1, 0>
0;18;(0,1);outputNeighborhood;<2, 5, 0, 0>
0;18;(0,1);;<2, 5, 1, 0>
0;19;(4,4);outputNeighborhood;<2, 5, 0, 0>
0;19;(4,4);;<2, 5, 1, 0>
0;20;(2,4);outputNeighborhood;<2, 5, 0, 0>
0;20;(2,4);;<2, 5, 1, 0>
0;21;(3,1);outputNeighborhood;<2, 5, 0, 0>
0;21;(3,1);;<2, 5, 1, 0>
0;22;(2,3);outputNeighborhood;<2, 5, 0, 0>
0;22;(2,3);;<2, 5, 1, 0>
0;23;(4,2);outputNeighborhood;<2, 5, 0, 0>
0;23;(4,2);;<2, 5, 1, 0>
0;24;(3,2);outputNeighborhood;<2, 5, 0, 0>
0;24;(3,2);;<2, 5, 1, 0>
0;25;(1,2);outputNeighborhood;<2, 5, 0, 0>
0;25;(1,2);;<2, 5, 1, 0>
1;1;(3,4);outputNeighborhood;<2, 5, 1, 0>
1;1;(3,4);;<2, 5, 2, 0>
1;2;(4,3);outputNeighborhood;<2, 5, 1, 0>
1;2;(4,3);;<2, 5, 2, 0>
1;3;(1,3);outputNeighborhood;<2, 5, 1, 0>
1;3;(1,3);;<2, 5, 2, 0>
1;4;(0,4);outputNeighborhood;<2, 5, 1, 0>
1;4;(0,4);;<2, 5, 2, 0>
1;5;(0,3);outputNeighborhood;<2, 5, 1, 0>
1;5;(0,3);;<2, 5, 2, 0>
1;6;(0,0);outputNeighborhood;<2, 5, 1, 0>
1;6;(0,0);;<2, 5, 2, 0>
1;7;(1,0);outputNeighborhood;<2, 5, 1, 0>
1;7;(1,0);;<2, 5, 2, 0>
1;8;(2,2);outputNeighborhood;<2, 5, 1, 0>
1;8;(2,2);;<2, 5, 2, 0>
1;9;(2,0);outputNeighborhood;<2, 5, 1, 0>
1;9;(2,0);;<2, 5, 2, 0>
1;10;(3,0);outputNeighborhood;<2, 5, 1, 0>
1;10;(3,0);;<2, 5, 2, 0>
1;11;(1,1);outputNeighborhood;<2, 5, 1, 0>
1;11;(1,1);;<2, 5, 2, 0>
1;12;(2,1);outputNeighborhood;<2, 5, 1, 0>
1;12;(2,1);;<2, 5, 2, 0>
1;13;(1,4);outputNeighborhood;<2, 5, 1, 0>
1;13;(1,4);;<2, 5, 2, 0>
1;14;(4,0);outputNeighborhood;<2, 5, 1, 0>
1;14;(4,0);;<2, 5, 2, 0>
1;15;(3,3);outputNeighborhood;<2, 5, 1, 0>
1;15;(3,3);;<2, 5, 2, 0>
1;16;(4,1);outputNeighborhood;<2, 5, 1, 0>
1;16;(4,1);;<2, 5, 2, 0>
1;17;(0,2);outputNeighborhood;<2, 5, 1, 0>
1;17;(0,2);;<2, 5, 2, 0>
1;18;(0,1);outputNeighborhood;<2, 5, 1, 0>
1;18;(0,1);;<2, 5, 2, 0>
1;19;(4,4);outputNeighborhood;<2, 5, 1, 0>
1;19;(4,4);;<2, 5, 2, 0>
1;20;(2,4);outputNeighborhood;<2, 5, 1, 0>
1;20;(2,4);;<2, 5, 2, 0>
1;21;(3,1);outputNeighborhood;<2, 5, 1, 0>
1;21;(3,1);;<2, 5, 2, 0>
1;22;(2,3);outputNeighborhood;<2, 5, 1, 0>
1;22;(2,3);;<2, 5, 2, 0>
1;23;(4,2);outputNeighborhood;<2, 5, 1, 0>
1;23;(4,2);;<2, 5, 2, 0>
1;24;(3,2);outputNeighborhood;<2, 5, 1, 0>
1;24;(3,2);;<2, 5, 2, 0>
1;25;(1,2);outputNeighborhood;<2, 5, 1, 0>
1;25;(1,2);;<2, 5, 2, 0>
2;1;(3,4);outputNeighborhood;<2, 5, 2, 0>
2;1;(3,4);;<2, 5, 3, 0>
2;2;(4,3);outputNeighborhood;<2, 5, 2, 0>
2;2;(4,3);;<2, 5, 3, 0>
2;3;(1,3);outputNeighborhood;<2, 5, 2, 0>
2;3;(1,3);;<2, 5, 3, 0>
2;4;(0,4);outputNeighborhood;<2, 5, 2, 0>
2;4;(0,4);;<2, 5, 3, 0>
2;5;(0,3);outputNeighborhood;<2, 5, 2, 0>
2;5;(0,3);;<2, 5, 3, 0>
2;6;(0,0);outputNeighborhood;<2, 5, 2, 0>
2;6;(0,0);;<2, 5, 3, 0>
2;7;(1,0);outputNeighborhood;<2, 5, 2, 0>
2;7;(1,0);;<2, 5, 3, 0>
2;8;(2,2);outputNeighborhood;<2, 5, 2, 0>
2;8;(2,2);;<2, 5, 3, 0>
2;9;(2,0);outputNeighborhood;<2, 5, 2, 0>
2;9;(2,0);;<2, 5, 3, 0>
2;10;(3,0);outputNeighborhood;<2, 5, 2, 0>
2;10;(3,0);;<2, 5, 3, 0>
2;11;(1,1);outputNeighborhood;<2, 5, 2, 0>
2;11;(1,1);;<2, 5, 3, 0>
2;12;(2,1);outputNeighborhood;<2, 5, 2, 0>
2;12;(2,1);;<2, 5, 3, 0>
2;13;(1,4);outputNeighborhood;<2, 5, 2, 0>
2;13;(1,4);;<2, 5, 3, 0>
2;14;(4,0);outputNeighborhood;<2, 5, 2, 0>
2;14;(4,0);;<2, 5, 3, 0>
2;15;(3,3);outputNeighborhood;<2, 5, 2, 0>
2;15;(3,3);;<2, 5, 3, 0>
2;16;(4,1);outputNeighborhood;<2, 5, 2, 0>
2;16;(4,1);;<2, 5, 3, 0>
2;17;(0,2);outputNeighborhood;<2, 5, 2, 0>
2;17;(0,2);;<2, 5, 3, 0>
2;18;(0,1);outputNeighborhood;<2, 5, 2, 0>
2;18;(0,1);;<2, 5, 3, 0>
2;19;(4,4);outputNeighborhood;<2, 5, 2, 0>
2;19;(4,4);;<2, 5, 3, 0>
2;20;(2,4);outputNeighborhood;<2, 5, 2, 0>
2;20;(2,4);;<2, 5, 3, 0>
2;21;(3,1);outputNeighborhood;<2, 5, 2, 0>
2;21;(3,1);;<2, 5, 3, 0>
2;22;(2,3);outputNeighborhood;<2, 5, 2, 0>
2;22;(2,3);;<2, 5, 3, 0>
2;23;(4,2);outputNeighborhood;<2, 5, 2, 0>
2;23;(4,2);;<2, 5, 3, 0>
2;24;(3,2);outputNeighborhood;<2, 5, 2, 0>
2;24;(3,2);;<2, 5, 3, 0>
2;25;(1,2);outputNeighborhood;<2, 5, 2, 0>
2;25;(1,2);;<2, 5, 3, 0>
3;1;(3,4);outputNeighborhood;<2, 5, 3, 0>
3;1;(3,4);;<2, 5, 4, 0>
3;2;(4,3);outputNeighborhood;<2, 5, 3, 0>
3;2;(4,3);;<2, 5, 4, 0>
3;3;(1,3);outputNeighborhood;<2, 5, 3, 0>
3;3;(1,3);;<2, 5, 4, 0>
3;4;(0,4);outputNeighborhood;<2, 5, 3, 0>
3;4;(0,4);;<2, 5, 4, 0>
3;5;(0,3);outputNeighborhood;<2, 5, 3, 0>
3;5;(0,3);;<2, 5, 4, 0>
3;6;(0,0);outputNeighborhood;<2, 5, 3, 0>
3;6;(0,0);;<2, 5, 4, 0>
3;7;(1,0);outputNeighborhood;<2, 5, 3, 0>
3;7;(1,0);;<2, 5, 4, 0>
3;8;(2,2);outputNeighborhood;<2, 5, 3, 0>
3;8;(2,2);;<2, 5, 4, 0>
3;9;(2,0);outputNeighborhood;<2, 5, 3, 0>
3;9;(2,0);;<2, 5, 4, 0>
3;10;(3,0);outputNeighborhood;<2, 5, 3, 0>
3;10;(3,0);;<2, 5, 4, 0>
3;11;(1,1);outputNeighborhood;<2, 5, 3, 0>
3;11;(1,1);;<2, 5, 4, 0>
3;12;(2,1);outputNeighborhood;<2, 5, 3, 0>
3;12;(2,1);;<2, 5, 4, 0>
3;13;(1,4);outputNeighborhood;<2, 5, 3, 0>
3;13;(1,4);;<2, 5, 4, 0>
3;14;(4,0);outputNeighborhood;<2, 5, 3, 0>
3;14;(4,0);;<2, 5, 4, 0>
3;15;(3,3);outputNeighborhood;<2, 5, 3, 0>
3;15;(3,3);;<2, 5, 4, 0>
3;16;(4,1);outputNeighborhood;<2, 5, 3, 0>
3;16;(4,1);;<2, 5, 4, 0>
3;17;(0,2);outputNeighborhood;<2, 5, 3, 0>
3;17;(0,2);;<2, 5, 4, 0>
3;18;(0,1);outputNeighborhood;<2, 5, 3, 0>
3;18;(0,1);;<2, 5, 4, 0>
3;19;(4,4);outputNeighborhood;<2, 5, 3, 0>
3;19;(4,4);;<2, 5, 4, 0>
3;20;(2,4);outputNeighborhood;<2, 5, 3, 0>
3;20;(2,4);;<2, 5, 4, 0>
3;21;(3,1);outputNeighborhood;<2, 5, 3, 0>
3;21;(3,1);;<2, 5, 4, 0>
3;22;(2,3);outputNeighborhood;<2, 5, 3, 0>
3;22;(2,3);;<2, 5, 4, 0>
3;23;(4,2);outputNeighborhood;<2, 5, 3, 0>
3;23;(4,2);;<2, 5, 4, 0>
3;24;(3,2);outputNeighborhood;<2, 5, 3, 0>
3;24;(3,2);;<2, 5, 4, 0>
3;25;(1,2);outputNeighborhood;<2, 5, 3, 0>
3;25;(1,2);;<2, 5, 4, 0>
