time;model_id;model_name;port_name;data
2;13;(1,4);outputNeighborhood;<1, 5, 6, 0>
2;13;(1,4);;<3, 5, 5, 0>
2;14;(4,0);outputNeighborhood;<1, 5, 6, 0>
2;14;(4,0);;<3, 5, 5, 0>
2;15;(3,3);outputNeighborhood;<1, 5, 6, 0>
2;15;(3,3);;<3, 5, 5, 0>
2;16;(4,1);outputNeighborhood;<1, 5, 6, 0>
2;16;(4,1);;<3, 5, 5, 0>
2;17;(0,2);outputNeighborhood;<1, 5, 6, 0>
2;17;(0,2);;<3, 5, 5, 0>
2;18;(0,1);outputNeighborhood;<1, 5, 6, 0>
2;18;(0,1);;<3, 5, 5, 0>
2;19;(4,4);outputNeighborhood;<1, 5, 6, 0>
2;19;(4,4);;<3, 5, 5, 0>
2;20;(2,4);outputNeighborhood;<1, 5, 6, 0>
2;20;(2,4);;<3, 5, 5, 0>
2;21;(3,1);outputNeighborhood;<1, 5, 6, 0>
2;21;(3,1);;<3, 5, 5, 0>
2;22;(2,3);outputNeighborhood;<1, 5, 6, 0>
2;22;(2,3);;<3, 5, 5, 0>
2;23;(4,2);outputNeighborhood;<1, 5, 6, 0>
2;23;(4,2);;<3, 5, 5, 0>
2;24;(3,2);outputNeighborhood;<1, 5, 6, 0>
2;24;(3,2);;<3, 5, 5, 0>
2;25;(1,2);outputNeighborhood;<1, 5, 6, 0>
2;25;(1,2);;<3, 5, 5, 0>
3;1;(3,4);outputNeighborhood;<3, 5, 5, 0>
3;1;(3,4);;<1, 4, 5, 0>
3;2;(4,3);outputNeighborhood;<3, 5, 5, 0>
3;2;(4,3);;<1, 4, 5, 0>
3;3;(1,3);outputNeighborhood;<3, 5, 5, 0>
3;3;(1,3);;<1, 4, 5, 0>
3;4;(0,4);outputNeighborhood;<3, 5, 5, 0>
3;4;(0,4);;<1, 4, 5, 0>
3;5;(0,3);outputNeighborhood;<3, 5, 5, 0>
3;5;(0,3);;<1, 4, 5, 0>
3;6;(0,0);outputNeighborhood;<3, 5, 5, 0>
3;6;(0,0);;<1, 4, 5, 0>
3;7;(1,0);outputNeighborhood;<3, 5, 5, 0>
3;7;(1,0);;<1, 4, 5, 0>
3;8;(2,2);outputNeighborhood;<3, 5, 5, 0>
3;8;(2,2);;<1, 4, 5, 0>
3;9;(2,0);outputNeighborhood;<3, 5, 5, 0>
3;9;(2,0);;<1, 4, 5, 0>
3;10;(3,0);outputNeighborhood;<3, 5, 5, 0>
3;10;(3,0);;<1, 4, 5, 0>
3;11;(1,1);outputNeighborhood;<3, 5, 5, 0>
3;11;(1,1);;<1, 4, 5, 0>
3;12;(2,1);outputNeighborhood;<3, 5, 5, 0>
3;12;(2,1);;<1, 4, 5, 0>
3;13;(1,4);outputNeighborhood;<3, 5, 5, 0>
3;13;(1,4);;<1, 4, 5, 0>
3;14;(4,0);outputNeighborhood;<3, 5, 5, 0>
3;14;(4,0);;<1, 4, 5, 0>
3;15;(3,3);outputNeighborhood;<3, 5, 5, 0>
3;15;(3,3);;<1, 4, 5, 0>
3;16;(4,1);outputNeighborhood;<3, 5, 5, 0>
3;16;(4,1);;<1, 4, 5, 0>
3;17;(0,2);outputNeighborhood;<3, 5, 5, 0>
3;17;(0,2);;<1, 4, 5, 0>
3;18;(0,1);outputNeighborhood;<3, 5, 5, 0>
3;18;(0,1);;<1, 4, 5, 0>
3;19;(4,4);outputNeighborhood;<3, 5, 5, 0>
3;19;(4,4);;<1, 4, 5, 0>
3;20;(2,4);outputNeighborhood;<3, 5, 5, 0>
3;20;(2,4);;<1, 4, 5, 0>
3;21;(3,1);outputNeighborhood;<3, 5, 5, 0>
3;21;(3,1);;<1, 4, 5, 0>
3;22;(2,3);outputNeighborhood;<3, 5, 5, 0>
3;22;(2,3);;<1, 4, 5, 0>
3;23;(4,2);outputNeighborhood;<3, 5, 5, 0>
3;23;(4,2);;<1, 4, 5, 0>
3;24;(3,2);outputNeighborhood;<3, 5, 5, 0>
3;24;(3,2);;<1, 4, 5, 0>
3;25;(1,2);outputNeighborhood;<3, 5, 5, 0>
3;25;(1,2);;<1, 4, 5, 0>
4;1;(3,4);outputNeighborhood;<1, 4, 5, 0>
4;1;(3,4);;<0, 4, 4, 1>
4;2;(4,3);outputNeighborhood;<1, 4, 5, 0>
4;2;(4,3);;<0, 4, 4, 1>
4;3;(1,3);outputNeighborhood;<1, 4, 5, 0>
4;3;(1,3);;<0, 4, 4, 1>
4;4;(0,4);outputNeighborhood;<1, 4, 5, 0>
4;4;(0,4);;<0, 4, 4, 1>
4;5;(0,3);outputNeighborhood;<1, 4, 5, 0>
4;5;(0,3);;<0, 4, 4, 1>
4;6;(0,0);outputNeighborhood;<1, 4, 5, 0>
4;6;(0,0);;<0, 4, 4, 1>
4;7;(1,0);outputNeighborhood;<1, 4, 5, 0>
4;7;(1,0);;<0, 4, 4, 1>
4;8;(2,2);outputNeighborhood;<1, 4, 5, 0>
4;8;(2,2);;<0, 4, 4, 1>
4;9;(2,0);outputNeighborhood;<1, 4, 5, 0>
4;9;(2,0);;<0, 4, 4, 1>
4;10;(3,0);outputNeighborhood;<1, 4, 5, 0>
4;10;(3,0);;<0, 4, 4, 1>
4;11;(1,1);outputNeighborhood;<1, 4, 5, 0>
4;11;(1,1);;<0, 4, 4, 1>
4;12;(2,1);outputNeighborhood;<1, 4, 5, 0>
4;12;(2,1);;<0, 4, 4, 1>
4;13;(1,4);outputNeighborhood;<1, 4, 5, 0>
4;13;(1,4);;<0, 4, 4, 1>
4;14;(4,0);outputNeighborhood;<1, 4, 5, 0>
4;14;(4,0);;<0, 4, 4, 1>
4;15;(3,3);outputNeighborhood;<1, 4, 5, 0>
4;15;(3,3);;<0, 4, 4, 1>
4;16;(4,1);outputNeighborhood;<1, 4, 5, 0>
4;16;(4,1);;<0, 4, 4, 1>
4;17;(0,2);outputNeighborhood;<1, 4, 5, 0>
4;17;(0,2);;<0, 4, 4, 1>
